,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-07-01,안동복합CC,0.9859,0.9839,0.9853,0.9943,0.984,0.9834,0.9901,0.9833,0.9841,0.9966,0.9868,0.9844
2024-07-01,율촌복합CC,0.982,0.9791,0.9793,0.9986,0.9943,0.9978,0.9924,0.9831,0.9807,0.9965,0.9987,0.9936
2024-07-01,광양복합1CC,0.9886,0.9849,0.9855,1.0036,0.9998,1.0003,1.0028,0.9962,0.989,1.0055,1.0049,0.9974
2024-07-01,광양복합2CC,0.9886,0.9849,0.9855,1.0036,0.9998,1.0003,1.0028,0.9962,0.989,1.0055,1.0049,0.9974
2024-07-01,대구그린파워CC,0.9968,0.9838,0.9831,1.0373,1.0185,1.0142,1.0108,0.9906,0.9799,1.0235,1.0061,0.9921
2024-07-01,인천복합1CC,1.0106,1.0084,1.0095,1.0169,1.0121,1.0139,1.0181,1.0169,1.0161,1.0179,1.0194,1.0138
2024-07-01,인천복합2CC,1.0106,1.0084,1.0095,1.0169,1.0121,1.0139,1.0181,1.0169,1.0161,1.0179,1.0194,1.0138
2024-07-01,화성열병합 CC#1,1.0151,1.0136,1.015,1.0273,1.0197,1.0183,1.03,1.0255,1.0291,1.025,1.0208,1.0194
2024-07-01,군산복합화력1CC,0.9932,0.993,0.9946,0.9937,0.9914,0.9921,0.9973,0.9956,0.9937,0.9992,1.001,0.9976
2024-07-01,GS당진복합2CC,0.9969,0.9987,1.0007,0.9978,0.9972,0.9972,0.9977,0.9972,1.0002,0.9965,0.997,0.9963
2024-07-01,논현열병합,1.0201,1.0187,1.0167,1.0306,1.0184,1.0203,1.0282,1.0211,1.0187,1.0284,1.0251,1.0194
2024-07-01,명품오산열병합CC,1.0107,1.0083,1.0066,1.0119,1.0047,1.0021,1.0113,1.0076,1.007,1.0138,1.0089,1.0038
2024-07-01,송도열병합발전1CC,1.0202,1.0187,1.0167,1.0307,1.0184,1.0203,1.0282,1.0209,1.0187,1.0283,1.0234,1.0192
2024-07-01,인천공항복합1CC,1.0155,1.0075,1.0085,1.0185,1.0118,1.0121,1.021,1.0191,1.0149,1.0223,1.0234,1.0192
2024-07-01,영월복합1CC,0.9861,0.9852,0.9893,0.9788,0.9727,0.9709,0.9717,0.9726,0.9858,0.9827,0.9753,0.9813
2024-07-01,포천천연복합CC,0.9948,0.9965,0.9953,1.0011,0.9979,0.9996,1.0014,1.0029,1.0054,1.0044,1.0059,1.0021
2024-07-01,판교열병합1CC,1.0184,1.0159,1.0162,1.0318,1.0219,1.0209,1.0301,1.0233,1.0254,1.0274,1.0219,1.019
2024-07-01,아산열병합CC,1.021,1.0193,1.0168,1.0292,1.0217,1.0181,1.0289,1.0237,1.027,1.029,1.0249,1.021
2024-07-01,파주열병합1CC,1.003,0.9992,1.0009,1.0097,1.0045,1.0052,1.0105,1.0101,1.0099,1.0132,1.0136,1.0104
2024-07-01,춘천열병합CC,0.9962,0.9982,1.0013,1.0078,1.0012,1.0008,1.0134,1.0111,1.0115,1.0141,1.0121,1.0087
2024-07-01,영남파워#1CC,1.0083,0.9986,0.9931,1.0308,1.0151,1.0104,1.0102,0.9956,0.9825,1.0192,1.0038,0.9902
2024-07-01,위례열병합CC,1.0167,1.0158,1.0172,1.0253,1.0171,1.0164,1.0272,1.0226,1.0241,1.0252,1.0198,1.0177
2024-07-01,파주문산복합1CC,1.0038,1.0062,1.0062,1.0122,1.0071,1.0096,1.0126,1.0123,1.0137,1.0137,1.0147,1.0108
2024-07-01,파주문산복합2CC,1.0038,1.0062,1.0062,1.0122,1.0071,1.0096,1.0126,1.0123,1.0137,1.0137,1.0147,1.0108
2024-07-01,동탄열병합1CC,1.0152,1.0148,1.0159,1.0254,1.0191,1.0183,1.0295,1.025,1.029,1.0242,1.0205,1.0186
